feature_id	SRR14935707	SRR14935708	SRR14935709	SRR14935710	SRR14935703	SRR14935704	SRR14935705	SRR14935706
SORBI_3001G015000	9	9	9	6	10	2	8	13
SORBI_3001G015100	887.992	469	2334.321	1717.001	2646	861	967	4530.348
SORBI_3001G015200	135.054	187	81	155	36	112	202.273	35
SORBI_3001G015300	15	15	27	13	77	6	20	47
SORBI_3001G015400	1438.006	1401	980.894	1193.422	803	1288.305	1764.412	728
SORBI_3001G015500	495	303	730.851	377.018	773	444.999	618.632	613
SORBI_3001G015600	0	1	4	1	6	1	0	10
SORBI_3001G015700	1	0	0	1	2	0	0	5
SORBI_3001G015800	867	654	639	720	458	617	812	408
SORBI_3001G016000	490	388	503	513.417	458	349	520.779	386
SORBI_3001G016050	0	0	3.496	4	0	1	1	1
SORBI_3001G016100	16.575	23.883	5.504	11.97	4.55	13.012	10.023	1
SORBI_3001G016201	306.02	304.489	96.528	159.276	55.427	232.479	316.056	45.823
SORBI_3001G016300	3.425	1.117	0	2.03	1.45	0.988	4.977	0
SORBI_3001G016350	0	0	0	0	0	0	0	0
SORBI_3001G016200	267.957	288.572	270.477	478.525	194.378	196.701	284.795	162.294
SORBI_3001G016400	1107.478	1355.526	748.57	1049.511	748.066	846.285	1483.313	654.359
SORBI_3001G016500	757.522	1019.474	569.43	684.091	573.934	637.706	1125.123	463.641
SORBI_3001G016600	335.998	411.023	218	290.001	256.999	192.999	255	142.465
SORBI_3001G016700	570	614	599.921	561	541	485.636	498.615	507
SORBI_3001G016800	0	3	0	0	3	0	1	1
SORBI_3001G016900	1466.345	1492	1419.106	1426.001	1379	1216.915	1687.19	950.114
SORBI_3001G017000	13	14	9	5.855	3	11	23.09	2
SORBI_3001G017100	3742.98	1816.999	2781.293	1618	3183	3941.305	3813.424	3101.903
SORBI_3001G017200	856.928	1023.942	631	881.991	589.308	670	748.725	444
SORBI_3001G017300	148	126	94	136	54	121	163	33
SORBI_3001G017400	547	324	314	321.999	144	285	447.362	86
SORBI_3001G017500	2	1	1	5	2	0	1	1
ENSRNA049444170	0	0	0	0	0	0	0	0
SORBI_3001G017600	264.611	269	195.999	202.005	180.012	206.661	257.235	129.732
SORBI_3001G017700	448.046	472	345	426	322	394.237	486	205
SORBI_3001G017800	227	290	194	211	188	182	239	123
SORBI_3001G017900	306	349	222	298	196	233	239	138
SORBI_3001G018000	84.998	73	24	73	7	56	123	5
SORBI_3001G018100	930.447	990.347	681.208	828.232	433.594	619.133	867.96	390.009
SORBI_3001G018200	246.553	352.653	175.695	243.768	180.418	201.867	296.891	142.991
SORBI_3001G018300	35	36	139.967	68.477	335.951	30	56	173.262
SORBI_3001G018350	0	0	0	0	0	0	0	0
SORBI_3001G018400	2	0	0	1	1	0	0	0
SORBI_3001G018500	335	337	217	249	213	255	447	250
SORBI_3001G018550	0	0	0	0	0	0	0	0
ENSRNA049445322	0	0	0	0	0	0	0	0
SORBI_3001G018600	0	0	0	13.523	5.049	0	0	1.738
SORBI_3001G018700	0	0	0	0	0	0	0	0
ENSRNA049444201	0	0	0	0	0	0	0	0
SORBI_3001G018800	748	837	709.602	761.999	544.998	714.577	1161.695	492
SORBI_3001G018900	3778.618	4467	2748.952	3439.682	2563	3256	5393.379	2318.857
SORBI_3001G019000	0	0	0	0	0	0	0	0
SORBI_3001G019100	0	1	0	0	0	0	0	0
ENSRNA049444213	0	0	0	0	0	0	0	0
SORBI_3001G019200	47	35	28	26	28	31	34	22
SORBI_3001G019300	128	139	52	104	69	36	54	23
SORBI_3001G019400	611	313	761.136	413.048	872	375	647	633.772
SORBI_3001G019500	297	74	509	231	292	205	538	225
SORBI_3001G019601	15	13	9	0	14	4	5	13
SORBI_3001G019700	50	20	183	87	160	26	64	138
SORBI_3001G019800	318.963	290	281	285.897	243	266	374	188
SORBI_3001G019900	934	492	1259.914	821	1199	657.847	1369.888	1002
SORBI_3001G020000	577	566	471	551	434	498	649.408	413
SORBI_3001G020100	402.991	453	400	414.972	274	456.217	444	281
SORBI_3001G020200	15	22	29	19	88	19	25	26
SORBI_3001G020350	0	1	2	1	1	2	3	0
SORBI_3001G020500	939.002	587	1026.997	840.996	1241.996	300	693.017	539.997
SORBI_3001G020600	402.032	563	154.002	423.218	89.004	269	194.004	73.003
ENSRNA049444222	0	0	0	0	0	0	0	0
SORBI_3001G020700	2	5	1	5	3	5	1	2
SORBI_3001G020800	0	0	0	0	0	0	0	0
SORBI_3001G020900	0	0	7	2	2	0	3	3
SORBI_3001G021000	541	564	397	593.107	298	502.668	571	313
SORBI_3001G021100	0	0	0	0	0	0	0	0
SORBI_3001G021200	0	0	0	0	0	0	0	0
SORBI_3001G021300	1065.808	999.19	656.591	926.401	713.268	832.807	1192.762	433.523
SORBI_3001G021400	4535.171	5337.791	3249.291	3553.92	3054.059	4316.611	5770.291	2823.239
SORBI_3001G021500	13179.164	5558.053	6172.179	6492.585	1578	9952.709	13038.702	2109.028
SORBI_3001G021601	0	0	0	0	0	0	0	0
SORBI_3001G021700	218.013	239	83	170	94	130	203	30
SORBI_3001G021800	178	179	136.397	111	73	109.542	177	65
SORBI_3001G021900	189	99	115	117	95	157.459	267	40
SORBI_3001G022000	46	37	33	41	42	64	78	39
SORBI_3001G022100	747	417	432.007	620.598	314	467	696.002	233.183
SORBI_3001G022200	1	0	0	0	2	1	0	2
SORBI_3001G022300	86	70.997	50.002	68.996	39	85.002	151.005	38.998
SORBI_3001G022400	440	223	327	420.105	253	209	316.062	254.674
SORBI_3001G022500	412.93	536	341	411.002	249	440.654	695.436	169
SORBI_3001G022600	2454.031	2198.759	1955.483	2047.041	2035.017	1732.047	3283.06	1415
SORBI_3001G022700	173	125	124	107.187	533	35	55	657
SORBI_3001G022800	2225.024	2380.812	1349.725	1693.917	938.127	1692.167	2633.217	832.003
SORBI_3001G022900	1944.648	2318	1315.952	1837.033	1424	1267.363	2179.85	1933.005
SORBI_3001G023000	350	393	315	320.001	299	267.454	339.329	252
SORBI_3001G023100	1273.999	1182	1205.918	1151.072	1123	1015	1536.436	1084.292
SORBI_3001G023200	162	244	96	110	60	129	174.016	68
SORBI_3001G023300	221.064	548	91	180	177	30	154	81
SORBI_3001G023400	181	189	140	230	178	163	232	138
SORBI_3001G023500	16	26	15	8	5	45	47	3
SORBI_3001G023600	40	36.181	20.305	40.002	9	25	40	13
SORBI_3001G023700	3	2	1	8	3	2	3	3
SORBI_3001G023800	173	182.999	183	193	173	154.999	235	121
SORBI_3001G023900	586	518.981	513	611.877	351	321	568	268
SORBI_3001G024000	920.013	945	722	718	470	947.03	1139.824	422
SORBI_3001G024100	0	0	0	0	0	0	0	0
SORBI_3001G024200	163	179	91	114	96	75	96	124
SORBI_3001G024250	0	0	0	0	1	0	0	0
SORBI_3001G024300	0	0	0	0	0	0	0	0
SORBI_3001G024400	0	1	8	1	30	1	2	20
SORBI_3001G024500	681.816	358	1687.99	359.117	2422.106	307.04	746.875	1872
SORBI_3001G024700	2	0	7	0	7	0	1	2
SORBI_3001G024800	0	2	2	3	9	0	2	3
SORBI_3001G024900	0	0	0	0	2	1	0	0
