sample_id	species	status	mapping_flag	num_processed	num_mapped	percent_mapped	library_types	salmon_version	index_seq_hash	index_name_hash	expected_format	compatible_fragment_ratio	elapsed_seconds
SRR14935708	sorghum_bicolor	pass	pass	13967548	11494310	82.29296938875743	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1.0	107
SRR14935709	sorghum_bicolor	pass	pass	12288856	10326048	84.02774025507338	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1.0	149
SRR14935710	sorghum_bicolor	pass	pass	13606814	11125654	81.76531258529734	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1.0	102
SRR14935703	sorghum_bicolor	pass	pass	14423579	10436893	72.35993923560858	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1.0	106
SRR14935704	sorghum_bicolor	pass	pass	10321987	8730463	84.58122452585923	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1.0	85
SRR14935705	sorghum_bicolor	pass	pass	14171292	12188588	86.0090103287689	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1.0	162
SRR14935706	sorghum_bicolor	pass	pass	14165576	10489408	74.04858086956719	ISR	1.11.4	97c880db355099c981b25adbb3d6e93a420c2943b08438e1280eeb08dd5e7396	ee5308d26779839463a930e120696c19dda5b891f85ffd02d8eef9f382b12b78	ISR	1.0	125
SRR39669458	setaria_viridis	pass	pass	53554537	44427215	82.95695843659334	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	381
SRR39669459	setaria_viridis	pass	pass	47191075	35635145	75.51246713494024	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	343
SRR39669468	setaria_viridis	pass	pass	49895583	35767157	71.6840145950394	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	508
