feature_id	SRR33083344	SRR33083345	SRR33083338	SRR33083351	SRR33083339	SRR33083340	SRR33083352	SRR33083346	SRR33083347	SRR33083355	SRR33083354	SRR33083353	SRR17385284	SRR17385295	SRR17385296	SRR17385300	SRR17385302	SRR17385301
TraesCS4A02G072900	118.896	96.112	89.22	75.781	64.577	57.641	80.653	83.052	80.859	88.968	97.404	96.456	70.763	76.078	70.558	77.616	72.534	69.99
TraesCS4A02G073000	480.725	312.76	354.773	320.842	350.898	399.205	420.419	340.394	324.909	403.133	398.156	406.226	364.798	363.583	367.756	387.51	449.959	432.836
TraesCS4A02G073200	293.921	118.984	155.805	266.553	209.45	224.679	385.231	242.946	263.807	286.81	346.511	206.801	257.908	243.589	241.391	269.593	269.413	258.286
TraesCS4A02G073300	15	19.39	9.3	19.563	10	18.002	2.111	4.972	4	7	17	8.325	9	7	1	5	4.001	7
TraesCS4A02G073400	310.008	222.436	282.522	190.002	257.894	204.559	280.345	261.605	347.445	357.496	260.718	263.562	187.505	237.19	193.978	253.352	237.269	339.587
TraesCS4A02G073500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G073600	0	0	0	0	2	0	0	3	0	0	0	0	0	3	0	1	1	0
TraesCS4A02G073700	107.683	56.034	62.528	55.894	71.143	110.276	84.03	63.39	68.499	101.026	83.505	94.517	50.527	44.607	66.594	75.572	90.396	87.112
TraesCS4A02G073800	1183.574	764.75	894.056	1746.755	1426.313	1655.743	1146.83	1210.673	1661.749	1159.622	1140.264	942.497	1778.807	1235.803	1370.949	1377.433	1622.973	1380.592
TraesCS4A02G073900	122.86	170.625	129.138	792.833	654.441	701.376	1293.833	1181.912	1101.207	1401.095	1315.318	1181.569	348.64	168.623	244.91	155.438	342.606	311.15
TraesCS4A02G074000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G074100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA050008170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA050008172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G074200	242.26	311.448	249.474	240.367	290.374	237.56	324.135	235.556	303.539	291.731	252.376	227.59	371.369	553.767	539.618	603.923	496.777	513.996
TraesCS4A02G074300	127.837	152.75	129.436	109.653	108.518	104.092	119.036	103.218	80.203	113.036	118.467	112.053	116.91	100.861	88.89	101.641	137.427	120.862
TraesCS4A02G074400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G074500	0	0	0	0	0	0	0	0	0.083	0	0	0	0	0	0	0	0	0
TraesCS4A02G074600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G074700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
TraesCS4A02G074800	320.226	287.399	305.668	347.717	358.498	362.146	498.168	366.797	376.805	362.766	414.861	374.95	300.76	220	218.109	267.656	302.91	261.752
TraesCS4A02G074900	1332.334	1574.904	1330.155	1172.966	1050.657	1097.176	1680.841	1345.184	1506.045	1583.942	1330.425	1428.789	1124.482	1120.435	990.371	1410.629	1411.676	1453.296
TraesCS4A02G075000	59.162	51.117	42.181	56.391	40.507	70.187	67.92	61.265	50.006	47.203	61.527	62.507	57.465	63.577	53.371	76.132	42.593	59.578
TraesCS4A02G075100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G075200	12	8	2	5	2	4	12	6	3	7	4	2	2	5	7	7	4	4
TraesCS4A02G075300	1	0	0	0	0	0	2	0	3	0	0	2	0	11	1	3	4	3
TraesCS4A02G075400	179	156	152	197	193	213	175.095	140	147	135	186	173	163	161	196	112	189	212
TraesCS4A02G075600	89.442	58.578	85.914	140.333	112.628	139.282	18.436	49.041	59.784	29.811	17.518	21.146	21.381	1	1	0	13.193	1.012
TraesCS4A02G075700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
TraesCS4A02G075800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G075900	280.474	184.065	182.986	225.433	237.002	251.668	256.388	234.787	251.389	259.722	269.289	253.609	331.055	492.023	409.906	497.964	426.893	425.346
TraesCS4A02G076000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
TraesCS4A02G076100	588.85	537.311	537.783	884.81	791.507	860.907	808.872	765.645	851.86	828.313	752.143	788.245	682.561	574.697	547.982	684.057	755.672	828.828
TraesCS4A02G076200	46.991	51.486	42.997	84	93.01	82	93.998	82.448	95.001	89.005	97.401	95.519	65.989	47	37	35.346	56.005	52.79
TraesCS4A02G076300	1	5	6	7	9	4	19	11	10	16	19	13	13	10	16	4	9	10
TraesCS4A02G076400	606.414	483.728	528.124	712.233	649.19	685.129	648.349	593.128	693.176	648.272	592.154	540.508	583.378	500.415	524.531	538.189	704.534	627.865
TraesCS4A02G076500	106	106	109	92	72	67	85	71	90	89.995	98.999	77	45	46	48	37	31	56.999
TraesCS4A02G076600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G076700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G076800	137.663	110.915	154.773	109.59	104.909	108.25	216.874	180.248	187.661	208.731	176.277	119.066	68.33	66.561	53.41	69.573	110.847	71.136
TraesCS4A02G076900	0	1	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
TraesCS4A02G077000	964.662	1053.825	892.651	1031.991	943.542	1039.991	2017.475	1636.055	1788.283	1492.4	1610.955	1433.73	668.008	857	833.709	834.242	975.714	1185.98
TraesCS4A02G077100	533.804	399.389	416.039	390.146	346.749	413.988	384.034	342.582	380.447	436.962	426.299	353.555	1737.896	778.111	1400.087	703.275	2038.61	1935.674
TraesCS4A02G077200	1215.624	1181.699	1017.021	1060.647	954.27	1088.355	1037.206	976.689	1024.784	1140.534	920.026	1058.021	1132.98	1046.848	1024.124	1263.826	1196.431	1285.157
TraesCS4A02G077300	350.246	342.88	316.721	456.138	325.842	404.734	334.813	283.318	357.161	289.936	307.204	275.601	289.326	218.24	261.096	261.986	281.052	284.071
TraesCS4A02G077400	1	1	0	2	2	3	0	0	0	0	1	0	2.007	0	1	0	0	0
TraesCS4A02G077500	2.007	2.037	0	0	1	8	4	2	1	0	2	1	1	1	0	0	0	1
TraesCS4A02G077600	1524.469	1294.555	1254.732	1425.613	1294.168	1520.175	1797.307	1668.35	1701.664	1842.241	1633.067	1769.608	1266.874	1263.519	1273.415	1474.926	1660.153	1870.55
TraesCS4A02G077700	52.415	51	48.284	65.005	57.999	63.98	34.952	44.475	47.861	36.09	39.464	37.995	95.004	146.104	107.38	120	125.553	87.323
TraesCS4A02G077800	361	372.004	346	193	216	198	160	145.009	120	149	177.999	122	80	154	138	154	88	135
TraesCS4A02G077900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G078000	81.354	63.948	75.672	72.122	110.745	101.242	69.028	76.846	84.224	72.398	94.779	62.685	8.999	18.469	13.002	38.881	20.09	20.246
TraesCS4A02G078100	33.853	31.998	16	14.004	22.984	21	15.002	7	16	6.001	12.577	9.61	16.998	36.996	25.304	41.768	31.713	26.004
TraesCS4A02G078200	141	23	44	38	31	44	12	4	5	6	13	1	3	5	7	11	9	12
TraesCS4A02G078300	4520.024	3300.003	3591.904	2531.248	2476.607	2733.953	441	408	380	374.004	356	259	1403	627	744	651	1146	792.051
TraesCS4A02G078400	69.998	60	62	102.579	81	78	72.998	60.004	40	39	56	53	80	63	80	68	91.998	77.002
TraesCS4A02G078500	7	2	5	0	2	0	7	2	2	0	0	0	4	0	1	1	7	2
TraesCS4A02G078600	114.116	112.221	117.141	109.093	96.583	121.568	101.34	110.557	124.637	86.604	93.93	113.325	143.279	115.988	116.318	153.013	140.824	129.996
TraesCS4A02G078700	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G078800	444.95	490.853	414.089	583.242	541.128	564.756	927.068	848.57	992.957	871.45	788.711	840.516	467.875	501.417	538.399	537.638	566.461	637.643
TraesCS4A02G078900	78.686	96.981	85	94.991	98.023	104.173	193.96	127.987	153.996	126.739	147.831	88.999	4.242	80.999	53.999	68.203	16	37.988
TraesCS4A02G079000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G079100	102.004	102.984	107.985	90.977	102.01	88.002	127.997	96.081	85.969	107.103	125.999	111.438	123.328	104.994	106.277	134.01	114.005	112.006
TraesCS4A02G079200	152.326	165.344	177.368	180.991	148.004	177.995	128	138.977	140.001	167.997	102.741	109	180.988	174.988	238.997	195.442	215.095	163.21
TraesCS4A02G079300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G079400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G079500	1425.689	1408.816	1402.51	1671.138	1694.145	1659.145	1695.632	1495.498	1589.17	1421.149	1388.696	1278.348	1740.354	1496.88	1896.311	1614.284	1853.999	1583.207
TraesCS4A02G079600	462.494	395.3	320.998	344.669	263.581	297.572	456.368	289.486	324.654	283.196	338.151	338.849	234.052	240.461	245.352	252.97	251.015	288.301
TraesCS4A02G079700	611.779	309.836	421.719	314.433	293.992	324.012	455.663	288.001	264.264	239.624	280.652	283.309	182.986	179.996	148.006	167	165.529	181.005
TraesCS4A02G079800	809.256	657.253	607.087	778.53	820.04	872.31	771.808	640.839	776.409	782.519	740.447	788.27	807.821	604.104	665.207	693.451	836.26	817.05
TraesCS4A02G079900	0	1	0	0	1.999	1	0	0	1	4.308	0.978	3	0	0	0	0	0	0
TraesCS4A02G080000	176.595	209.527	181.47	233.044	239.102	222.997	188	203.759	240.995	168.74	153.988	141	72.29	118.302	108.505	119.974	103.411	120.381
TraesCS4A02G080100	300.707	264.735	268.467	333.589	342.069	370.963	360.349	324.448	343.481	341.287	369.404	323.9	672.649	748.745	898.168	714.852	720.164	675.62
TraesCS4A02G080200	285.97	211.707	223.363	267.068	216.613	271.148	306.83	311.032	277.946	317.007	272.03	290.871	211.987	203.565	272.22	248.676	247.259	264.912
TraesCS4A02G080300	80.344	55.031	49.984	31.119	25.015	21.846	30.809	43.865	31.998	32.596	30.234	29.413	8.986	29.104	13.884	36.625	15.036	13.127
