feature_id	SRR33083344	SRR33083345	SRR33083338	SRR33083351	SRR33083339	SRR33083340	SRR33083352	SRR33083346	SRR33083347	SRR33083355	SRR33083354	SRR33083353	SRR17385284	SRR17385295	SRR17385296	SRR17385300	SRR17385302	SRR17385301
TraesCS4A02G229100	2.180086	2.013581	1.626675	5.236799	4.165742	0.624055	3.055709	3.631805	4.933445	7.143396	6.616381	5.008506	4.615776	4.952203	4.47892	8.689574	3.56222	3.962838
TraesCS4A02G229200	4.781311	5.978751	4.388057	6.991562	6.430333	5.45015	5.29616	7.095847	5.149008	5.572136	5.441088	4.679604	11.29805	11.897098	14.863648	13.551509	12.966072	12.797317
TraesCS4A02G229300	0.01304	0.029039	0	0.143876	0.030722	0.057119	0.078315	0.014992	0.014458	0.138729	0	0.016479	0	0.027517	0.036394	0.076857	0.027877	0.08823
TraesCS4A02G229400	9.471916	8.205365	10.171507	7.841454	6.856288	6.996069	9.161903	8.590761	9.861656	10.844139	10.99407	12.514387	5.073908	5.510592	5.267187	6.508399	6.006355	7.545483
ENSRNA050017637	0	0.053438	0.054196	0	0	0	0	0	0	0	0	0	0.051461	0	0	0	0	0
TraesCS4A02G229600	0.936301	0.961538	1.221988	0.480139	0.94316	0.653546	0.213939	0.314649	0.5888	0.209416	0.516267	0.770279	0.879816	1.508016	1.575646	1.615147	1.268412	1.288582
TraesCS4A02G229700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G229800	2.67918	2.537023	2.440802	3.495324	2.419722	3.206107	2.433058	3.077487	3.208911	3.788514	3.132591	3.962012	2.250788	1.770063	1.655334	2.169112	2.794722	2.700556
TraesCS4A02G229900	0	0	0	0	0	0	1.180144	0.879551	1.422053	1.096378	0.202092	0.794976	0	0	0	0	0	0
TraesCS4A02G230000	5.559517	6.843849	6.207697	7.068196	6.848949	7.445911	6.162363	6.866217	7.639255	8.274605	7.325895	7.679451	4.914716	6.048276	6.818468	5.656525	6.097673	5.908847
TraesCS4A02G230100	7.092773	6.641387	6.475823	6.808652	7.341216	7.81227	6.282571	7.378557	6.959209	8.796398	7.680721	8.331755	6.978857	6.726363	6.35295	6.79808	8.438638	8.596999
TraesCS4A02G230200	0.401069	0.405367	0.468565	0.639728	0.437232	0.496763	0.590875	0.586734	0.425152	0.40267	0.477891	0.59101	0.421527	0.572134	0.230155	0.370255	0.436346	0.393337
TraesCS4A02G230300	0.428764	0.445277	0.629749	0.734601	0.693888	0.890182	1.622426	1.310683	1.302185	1.72854	1.03081	1.48775	0.42565	0.681153	0.597097	0.410152	0.644707	0.802093
TraesCS4A02G230400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G230500	1.242074	2.445758	2.151772	4.480202	3.050356	3.404771	4.10886	4.149329	4.778499	2.464534	2.867542	4.572989	0.675678	0.916456	0.910365	1.207577	0.529883	0.835481
TraesCS4A02G230600	3.496276	2.25385	2.912286	2.323706	1.910401	2.203201	1.558555	1.658246	2.149059	1.529384	1.580104	1.740938	1.083531	1.227841	1.000914	1.591263	1.735598	1.520681
TraesCS4A02G230700	3.632711	2.493312	3.393715	4.999518	4.098167	4.28845	3.524404	4.469197	4.5575	4.949248	4.110746	5.860157	5.834932	5.303002	4.503802	5.499888	6.496994	7.594518
TraesCS4A02G230800	3.035051	2.96661	3.39177	3.295743	3.330065	3.434283	3.817559	4.017213	4.316596	4.800099	4.304278	5.235213	5.687666	8.260682	7.8112	8.460496	4.57796	5.600151
TraesCS4A02G230900	0.114171	0.190383	0.080177	0.495974	0.465677	0.263485	0.388075	0.418109	0.389054	0.53761	0.643411	0.730505	0.215825	0.23507	0.051913	0.081911	0.23418	0.437957
TraesCS4A02G231000	0.057504	0	0	0	0	0.064195	0.056987	0.133067	0.064614	0.105227	0.067321	0.036699	0	0	0	0	0	0.029517
TraesCS4A02G231100	9.377889	8.322082	9.510421	10.091063	8.938726	11.246137	11.449933	11.848387	13.861814	14.305813	10.789104	13.9015	9.632546	7.822939	5.981379	8.968213	9.866548	11.954542
TraesCS4A02G231200	0	0	0.01485	0	0	0	0	0	0	0	0	0	0	0.027933	0	0	0.028261	0
TraesCS4A02G231300	0	0	0	0	0	0	0	0	0	0	0	0	0.165364	0.100847	0.038342	0.04001	0.042386	0.115474
TraesCS4A02G231400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G231500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G231600	4.320474	3.734628	4.206973	4.091686	3.714707	3.938099	3.983151	3.930026	4.259234	4.370799	4.644475	3.512765	2.465451	2.046824	1.763992	2.157998	2.412573	3.359058
TraesCS4A02G231700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G231800	2.808154	2.270999	2.489653	2.320527	2.314966	2.240062	2.025694	1.954867	2.747495	3.018397	2.611104	2.374467	2.049486	1.901203	2.122778	2.307856	1.949113	2.230447
TraesCS4A02G231900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G232000	20.719889	16.648984	18.295211	25.006016	22.575908	23.804773	16.581316	17.416726	18.924417	16.446029	18.368027	18.129827	30.267352	22.074112	21.193472	24.762236	29.773382	29.241729
TraesCS4A02G232100	2.481383	2.600783	2.590494	4.70545	4.071728	3.666109	4.464493	4.212054	4.061476	4.984785	4.691749	4.379476	3.009289	3.086636	4.181091	3.581043	4.465219	5.113187
TraesCS4A02G232200	0.064262	0.0395	0.071972	0.041538	0.080115	0.068007	0.007164	0.095101	0.10904	0.092686	0.216569	0.058936	0.092651	0.055243	0.013833	0.007402	0.024465	0.034637
TraesCS4A02G232300	75.156373	74.032115	73.715431	70.496332	72.227424	69.71644	59.221227	53.219929	51.46582	52.88601	54.468742	50.594452	89.259326	91.61796	108.193958	88.284392	79.656885	71.717086
TraesCS4A02G232500	3.853384	5.142169	4.549643	2.783125	3.646171	4.307516	2.722721	3.101109	2.234723	3.521535	2.515595	2.830208	6.213985	8.747167	10.183509	8.470717	7.50332	7.240815
TraesCS4A02G232400	26.114374	38.636419	34.118641	15.188134	26.38315	23.550364	16.370366	15.411539	17.757188	17.029911	12.968991	11.501237	29.989173	50.30524	54.909331	46.04488	29.86479	30.006686
TraesCS4A02G232600	2.96126	3.643447	2.972322	2.811876	2.878911	3.208375	3.425851	3.662869	4.047482	4.25358	4.208659	4.463107	3.209118	3.829384	2.612757	3.727103	4.124792	4.174749
TraesCS4A02G232700	1.048283	1.077305	1.137107	1.115232	1.442008	1.598539	0.735795	0.670487	1.04401	2.097896	0.747441	0.81156	1.721183	2.330449	1.628052	2.69164	2.341341	2.331618
TraesCS4A02G232800	0.115666	0.196504	0.199915	0.209385	0.173957	0.220544	0.093246	0.019771	0.057	0.228055	0.368125	0.053607	0.172798	0.375901	0.152237	0.280761	0.199249	0.14873
TraesCS4A02G232900	0	0.736829	0	0	0	0	0	0	0.19017	0	0	0	0	0	0	0	0	0
TraesCS4A02G233000	0	0	0	0	0	0	0	0	0	0	0.046874	0	0	0	0	0	0	0
TraesCS4A02G233100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G233200	0.043962	0.049049	0.024701	0.025665	0	0.077574	0.044692	0.026715	0.104102	0.028318	0.1093	0.060158	0.030994	0.023628	0.062119	0.022078	0.047762	0.100949
TraesCS4A02G233300	102.430887	123.176169	95.728731	83.453236	79.770362	95.315914	153.033502	137.994276	131.379215	113.151595	126.498345	116.831057	58.389568	60.479097	44.59177	48.856784	66.607023	70.664314
TraesCS4A02G233400	0.00567	0.006238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G233500	8.467487	6.778938	7.710552	10.348105	9.519773	10.267434	10.073221	11.25756	10.94097	13.319896	13.610229	13.270932	7.639385	10.125376	10.887171	10.423271	8.980405	11.234776
TraesCS4A02G233600	59.787517	87.928993	79.569817	110.872314	92.719695	98.611375	199.541873	220.972163	236.241077	256.369426	267.793307	271.72059	94.934777	129.668914	116.982142	119.395873	106.726773	109.973316
TraesCS4A02G233700	0	0	0.127987	0	0.072773	0.134529	0	0	0.139846	0.070951	0	0	0	0	0	0	0.181843	0
TraesCS4A02G233800	1.799255	1.550176	1.54419	1.594053	1.840168	1.698446	1.252066	1.400133	1.679729	2.127359	0.995381	1.514605	2.156466	1.483828	2.180581	2.022757	2.510347	2.231084
TraesCS4A02G233900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G234000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G234100	2.280901	4.096876	4.120707	7.038901	8.398981	8.073486	92.592585	86.594859	73.008585	53.980669	50.048364	39.915472	9.212808	6.577175	6.677083	5.39447	5.485485	2.956198
TraesCS4A02G234200	0.04989	0.166215	0.28127	0.161127	0	0.106743	0.146754	0.055971	0.163076	0.280615	0	0.42093	0	0.44774	0.838605	0.092059	0.048482	0.150502
TraesCS4A02G234300	2.380254	2.148374	2.647557	2.23111	2.348536	2.780795	2.383203	2.348576	1.973525	1.819291	1.718166	2.266062	1.489123	1.502357	1.823046	1.759284	2.679058	3.064316
TraesCS4A02G234400	4.479943	6.745493	5.385766	9.228325	7.017679	7.554261	12.125041	11.274178	14.142834	12.572614	12.363833	14.79414	7.796225	12.709314	10.174128	13.315085	9.332646	10.543053
TraesCS4A02G234500	0.322181	0.215248	0.176035	0.191051	0.334885	0.221066	0.172536	0.224727	0.296713	0.367167	0.215653	0.540984	0.192464	0.442845	0.345009	0.553046	0.286423	0.436008
TraesCS4A02G234600	0.098215	0	0.018333	0	0.036406	0	0.015396	0	0.136551	0	0.036809	0.019587	0.205096	0.359986	0.49196	0.39497	0.193956	0.431822
TraesCS4A02G234700	1.441065	1.315095	1.374769	1.149243	1.223348	1.331196	1.93323	1.362451	1.754241	1.82579	1.457969	1.331191	3.750916	2.914985	2.707748	2.578497	3.44373	3.274773
