feature_id	SRR26553585	SRR26553586	SRR26553587	SRR26553588	SRR26553594	SRR26553593	SRR2545903	SRR2545902	SRR2545899	SRR2545898	SRR2545901	SRR2545900	SRR2545897	SRR2545896
GLYMA_09G168300	41696.103	3591.583	1330.022	1619.283	31446.377	26234.138	900.007	799.705	64.003	76	1924.993	1435.007	84	100
GLYMA_09G168400	66.893	43.037	104	48.999	55.042	41	9	2	11	7	7	8	12	4
GLYMA_09G168500	220.002	123.294	103.999	82	215.999	166.999	312.539	410.271	216.704	190.222	415.34	306.706	354.501	252.279
GLYMA_09G168600	65.001	100.19	70.005	191.334	61.411	107.004	133.816	150.436	121.773	113.38	151.147	176.908	177.295	143.084
GLYMA_09G168700	179.592	277.592	137.519	2469.956	217.304	267.384	169.563	188.299	71.412	69.851	140.64	163.591	86.535	102.637
GLYMA_09G168800	117.05	60.754	58.592	25	76.998	94.998	25.348	33.129	30.965	32.785	47.345	38.586	33.896	37.586
GLYMA_09G168900	657.794	176.003	136.296	104.128	630.481	844.32	386.779	389.578	240.224	230.259	520.634	502.291	374.4	245.989
GLYMA_09G169000	181.041	111	88.998	49	111	158	55	71.997	89.997	80.378	44.001	55	94.431	103
GLYMA_09G169100	3	4	4	2	12	2	5	5	3	6	5	1	8	10
GLYMA_09G169200	20	11	7	9	11	19.059	26	23	31	33	33	18	43	45
GLYMA_09G169300	5	2	6	16	8	8	33	44	72	53	46	42	60	66
GLYMA_09G169400	273.087	1164.453	1084.212	798.56	233.954	234.325	786.038	968.121	1091.503	1199.723	1183.4	1270.696	1328.591	1207.699
GLYMA_09G169500	1450.1	1271.925	864.434	594.73	1109.419	1167.003	571.903	692.939	753.873	819.524	836.382	664.054	899.652	860.404
GLYMA_09G169600	691.632	472.428	267.599	285.856	525.019	564.858	448.015	525.671	510.348	687.39	650.075	524.702	628.921	637.261
GLYMA_09G169700	66.746	17	22	17.094	68	49.903	1	0	4	2	1	3	2	3
GLYMA_09G169800	84.466	60.355	46.83	24.173	73.591	93.052	0	3.082	1.025	5.228	2.06	0	3.075	1.02
GLYMA_09G169900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G170000	1	0	0	2	4	0	0	0	0	0	0	0	0	0
GLYMA_09G170100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G170200	178.517	132	247.21	96.003	159.997	242.812	308.254	229.164	154.861	171.628	339.189	295.898	172.344	228.458
GLYMA_09G170300	0	0	149.082	74.859	0	0	60.931	160.715	0	0	0	0	0	0
GLYMA_09G170400	466.015	400	256.456	263.168	382.52	428.402	2290.701	2176.338	2175.986	2247.141	2621.329	2222.189	2222.422	2356.815
GLYMA_09G170500	49	76	273.146	10	23	14	0	1	0	3	0	0	4	3
GLYMA_09G170600	524.658	481.875	367.647	434.001	414.936	501.45	550.38	623.018	743.472	739.209	749.112	774.823	878.213	883.437
GLYMA_09G170700	183.405	116	62	64	161.001	190	361	319	460	543	438	348.999	505	545
GLYMA_09G170800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G170900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G171000	4932.284	476.062	224.62	204.598	4341.759	6606.983	703.095	704.517	726.689	751.95	982.216	851.453	852.296	768.94
GLYMA_09G171100	26	15	16	6	45	34	283.697	446	182.989	224.862	281.66	386.028	257.271	275.536
GLYMA_09G171200	38.966	16.601	12.79	16.978	23.683	27.547	30.863	25.695	27.592	34.09	33.836	15.094	46.847	33.293
GLYMA_09G171300	35	58	35	60	48	54	2	1	1	1	2	1	2	2
GLYMA_09G171400	9	19	7	13	14	8	0	1	0	0	0	0	0	0
GLYMA_09G171500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G171600	929.662	999.11	992.197	1605.741	824.724	1075.837	2700.46	2888.194	2885.352	2573.635	2738.445	3083.114	3222.307	3363.709
GLYMA_09G171700	147	103.213	112	90.41	97	131.631	17	25	24	26	24	24	24	23
GLYMA_09G171800	0	0	1	0	2	0	2	4	5	0	5	3.997	0	4
GLYMA_09G171900	807.476	686.397	459.967	753.967	653.27	748.304	331.697	374.76	448.353	526.852	417.142	336.934	460.322	531.238
GLYMA_09G172000	468.981	436.211	401.093	458.674	412.248	473.619	1011.353	1079.077	909.389	1213.053	1151.434	1075.253	1052.266	1079.698
GLYMA_09G172100	1	2	3	13	0	3	1558.482	1647.148	81.812	50.279	2311.231	1714.425	64.773	89.557
GLYMA_09G172200	566.887	676.156	493.99	677.175	603.893	620.965	555.793	641.043	663.859	674.035	599.559	710.058	673.146	823.291
ENSRNA050030554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G172300	75.168	74	62.132	63	57.183	79	32	41	66	85	36	49	91	74
GLYMA_09G172400	0	0	0	0	0	0	3	3	4	5	0	3	4	3
GLYMA_09G172500	83.012	64	82.015	91	98	95.016	1408.997	1062.997	1403	1379.84	1161.001	951	1223.575	1203.219
GLYMA_09G172600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G172700	681.998	826.57	661.111	730.71	677.857	798.435	1237.555	1199.457	1632.13	2132.536	1214.238	1135.507	1554.079	1831.626
GLYMA_09G172800	0	0	0	2	0	0	45.709	47.301	56.595	59.753	57.321	48.322	61.586	57.915
GLYMA_09G172900	0	0	1	0	0	0	41	53.548	35	45	42.272	48.906	43.03	40
GLYMA_09G173000	126.001	216	158.92	96	95	109	67	86.001	72	96	90	103	92.001	84
GLYMA_09G173100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G173200	606.073	166.837	108	136.034	666.67	1066.421	3261.263	2085.996	1871.473	1980.156	4402.334	3532.255	2104.424	2929.66
GLYMA_09G173300	310.778	11.888	3	25	274.749	279.79	1692	1498.198	422	594.499	1716	1524.366	361	424
GLYMA_09G173400	94	747.497	853.278	825.206	116.842	105.01	3789.641	3685.223	2163.51	2404.828	4659.693	3709.143	1849.944	2125.494
GLYMA_09G173500	342.021	314.248	213.042	357.952	374.515	477.459	394.264	387.931	402.726	386.213	430.643	553.173	463.408	456.034
GLYMA_09G173600	11	11	9	10	15	21	0	4	0	0	0	2	3	3
GLYMA_09G173700	12	15	20	8	12	14	91	71	132	181	90	73	74	116
GLYMA_09G173800	11	35.002	34	17	21	10	43.334	55	61	39.977	50.984	65.237	51	74
GLYMA_09G173900	1	0	0	0	0	1	0	0	0	0	0	0	0	0
GLYMA_09G174000	1718.626	1541.495	1219.246	1495.28	1497.44	1723.791	1671.219	1890.079	1826.133	2236.362	2252.036	2003.968	2328.641	2442.49
GLYMA_09G174100	3	0	0	0	0	0	1	0	2	1	2	0	4	2
