feature_id	SRR26553585	SRR26553586	SRR26553587	SRR26553588	SRR26553594	SRR26553593	SRR2545903	SRR2545902	SRR2545899	SRR2545898	SRR2545901	SRR2545900	SRR2545897	SRR2545896
GLYMA_02G276500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_02G276600	44.912761	51.26191	64.913633	54.966894	45.484028	50.758287	217.809487	206.261847	255.5554	228.00088	205.457562	231.508776	255.303516	251.932948
GLYMA_02G276700	47.274032	36.356781	33.072794	26.289769	44.882896	50.709588	25.433762	22.046995	33.711762	39.650248	21.668045	20.038688	34.56194	34.73618
GLYMA_02G276800	7.142837	5.983131	8.141506	4.953006	6.874714	7.523494	7.092603	6.846315	8.430232	9.332699	6.397961	6.213238	8.17508	8.806694
GLYMA_02G276900	12.478994	9.165306	11.414401	8.239453	11.921873	15.282237	28.895906	28.961436	25.080523	27.126173	27.452358	24.929173	25.5786	26.745113
GLYMA_02G277000	6.042546	2.718765	1.817061	1.052102	4.534028	5.76278	0.518065	0.121494	0.206073	0.428477	0.166786	0.30448	0.260188	0.500111
GLYMA_02G277100	0.745036	2.047313	3.213858	1.822217	0.882441	0.895923	4.399573	4.706055	7.068562	7.183401	4.909033	5.428411	8.289743	7.950376
ENSRNA050002967	0	1.248485	0	0	0	0	1.380383	0.34131	0.759823	0.682088	1.215933	0.947348	1.056468	1.370105
GLYMA_02G277200	7.544609	6.792888	6.742085	4.093743	7.577895	10.50631	4.093514	6.277054	5.702992	4.890546	5.787181	5.811033	5.664115	5.982529
GLYMA_02G277300	12.485076	32.194028	65.985751	52.367216	21.316884	14.852537	91.825926	108.687675	92.652472	79.208804	85.614259	117.778831	102.906153	88.824105
GLYMA_02G277400	24.521495	16.473083	19.671457	12.917099	25.804158	27.843554	11.320918	10.285946	9.255017	10.464003	12.948386	11.86342	12.049062	11.54023
GLYMA_02G277500	0.07095	0	0.093734	0	0.078402	0.224472	0.063598	0	0.06697	0	0	0	0	0
GLYMA_02G277600	0	0.15411	1.518009	0.830552	0.043778	0.041175	7.859979	12.033872	9.534347	9.256878	9.038119	11.844783	9.220883	9.448672
GLYMA_02G277700	37.013618	38.532695	53.954956	26.193884	35.85641	40.61188	10.890634	11.200032	18.342939	16.987559	12.041334	14.380156	22.490627	20.271426
GLYMA_02G277800	31.151465	38.294462	34.202363	26.593718	31.303904	32.398904	51.663594	43.705533	46.232693	51.671031	39.465468	46.219677	45.983758	47.185515
GLYMA_02G277900	6.498469	5.702574	9.403547	3.386852	5.603272	7.474597	5.413537	4.487677	4.549007	5.403313	6.15712	5.38594	3.828703	5.862701
GLYMA_02G278000	0.042214	0.07715	0.206397	0	0.091695	0.043316	0.344204	0.258142	0.265709	0.30412	0.056513	0.139782	0.206059	0.512051
GLYMA_02G278100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_02G278200	0	0	0.066222	0.202924	0	0	0.190486	0.683582	0.303002	0.233019	0.285992	0.362272	0.771604	0.139563
GLYMA_02G278300	34.769277	35.091579	69.319895	55.374485	33.761226	40.082758	30.480365	38.280586	67.060214	96.12042	34.226354	29.69752	65.707755	72.026663
GLYMA_02G278400	0.523192	0.974017	3.973127	0.769937	0	0	1.979152	5.499155	7.252437	5.648022	2.615368	5.139809	9.10493	8.622864
GLYMA_02G278500	11.39187	10.819151	15.358192	6.740445	11.855389	11.513305	8.892465	11.799182	9.926841	9.56356	12.364712	13.011099	11.859739	9.578262
GLYMA_02G278600	6.796089	11.558995	12.312555	17.689864	8.27275	14.28	83.620937	85.450765	116.480542	138.355713	71.768943	80.402043	110.196458	111.160587
GLYMA_02G278700	0	0	0	0	0	0	0	0	0	0	0	0	0.094214	0
GLYMA_02G278800	10.070628	9.932994	11.023004	8.386758	10.958147	11.547468	18.037743	15.400117	21.860735	21.538296	16.543554	15.21258	19.967178	20.355713
GLYMA_02G278900	0	0.050387	0.034167	0.052119	0	0	0	0	0	0	0	0	0	0
GLYMA_02G279000	13.721267	18.778016	16.293571	16.553567	14.932111	15.97958	5.372404	6.616972	8.214772	6.739694	4.710713	6.999185	9.760105	6.320908
GLYMA_02G279100	11.585137	9.665233	12.017743	8.704092	10.220935	13.638535	16.686245	16.904571	22.393359	19.885721	17.791792	16.07429	21.597751	20.886013
GLYMA_02G279200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_02G279300	11.055328	21.601745	25.496215	15.460047	11.59903	10.277952	9.55461	11.435116	10.987197	10.730806	10.616852	12.524252	12.211332	11.336786
GLYMA_02G279400	10.348095	8.064496	7.813202	4.166345	9.061901	9.307278	6.22461	7.560099	8.722811	9.114293	6.440701	6.973133	7.990921	8.061152
GLYMA_02G279500	31.067568	30.336402	36.091878	27.111678	28.514388	29.099108	27.162164	30.17699	17.00531	21.255046	29.486577	31.983656	20.93364	21.73959
GLYMA_02G279600	11.155205	7.172307	10.421335	9.040597	13.215967	14.589687	41.07592	37.608646	11.412633	10.291171	41.671744	43.436389	12.738732	13.030099
GLYMA_02G279700	68.659363	2.90209	3.955664	2.577544	56.728366	27.072454	0.39426	0.244937	0.421145	0.178947	0.05845	0.490424	0.414286	0.820002
GLYMA_02G279800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_02G279900	1.253416	2.601494	8.888964	3.322996	2.542645	1.78056	12.465435	15.303193	21.317114	16.879129	11.732791	15.46101	25.043102	25.859262
GLYMA_02G280000	0.558819	0.934665	1.666593	0.98364	0.613645	0.626102	2.36917	2.10664	2.028881	1.882071	2.539172	2.279157	2.223499	2.665687
GLYMA_02G280100	0.322601	0.339186	0.449683	0	0.361403	0.168341	179.179817	213.557296	5.654351	6.170415	174.437943	202.634237	7.210775	7.139356
GLYMA_02G280200	3.965306	1.776408	2.320364	1.1223	4.256409	4.056917	0.466794	0.605355	1.183177	1.228107	0.757354	0.651575	1.273619	0.895768
GLYMA_02G280300	18.70876	21.387465	21.252579	12.799874	18.474702	20.606359	21.030214	20.993699	27.902751	28.997117	21.2109	21.372426	29.662839	31.735516
GLYMA_02G280400	5.400035	7.227665	8.324289	4.662361	5.155402	5.558555	4.884051	4.278977	5.224774	5.994523	5.835899	5.357645	6.04005	6.157631
ENSRNA049760363	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_02G280500	7.623908	4.979455	4.163022	2.602167	8.924397	10.135112	4.022467	3.163255	2.834011	2.67664	4.455895	4.170851	3.747462	2.66367
