sample_id	species	bioproject	tissue	condition	replicate	layout	r1	r2	salmon_index	canary	analysis_group	co2	water	dehydration_stage	design_cell
SRR2545897	glycine_max	PRJNA295411	Root	Ambient CO2, well-watered, rep2	2	paired	data/fastq/SRR2545897_1.fastq.gz	data/fastq/SRR2545897_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna295411	ambient	well_watered		ambient:well_watered
SRR2545896	glycine_max	PRJNA295411	Root	Ambient CO2, well-watered, rep1	1	paired	data/fastq/SRR2545896_1.fastq.gz	data/fastq/SRR2545896_2.fastq.gz	results/rnaseq/glycine_max/index	false	soybean_prjna295411	ambient	well_watered		ambient:well_watered
SRR14935707	sorghum_bicolor	PRJNA742236	Green prop roots	Elevated CO2, drought, rep1	1	paired	data/fastq/SRR14935707_1.fastq.gz	data/fastq/SRR14935707_2.fastq.gz	results/rnaseq/sorghum_bicolor/index	false	sorghum_prjna742236	elevated	drought		elevated
SRR14935708	sorghum_bicolor	PRJNA742236	Green prop roots	Elevated CO2, drought, rep2	2	paired	data/fastq/SRR14935708_1.fastq.gz	data/fastq/SRR14935708_2.fastq.gz	results/rnaseq/sorghum_bicolor/index	false	sorghum_prjna742236	elevated	drought		elevated
SRR14935709	sorghum_bicolor	PRJNA742236	Green prop roots	Elevated CO2, drought, rep3	3	paired	data/fastq/SRR14935709_1.fastq.gz	data/fastq/SRR14935709_2.fastq.gz	results/rnaseq/sorghum_bicolor/index	false	sorghum_prjna742236	elevated	drought		elevated
SRR14935710	sorghum_bicolor	PRJNA742236	Green prop roots	Elevated CO2, drought, rep4	4	paired	data/fastq/SRR14935710_1.fastq.gz	data/fastq/SRR14935710_2.fastq.gz	results/rnaseq/sorghum_bicolor/index	false	sorghum_prjna742236	elevated	drought		elevated
SRR14935703	sorghum_bicolor	PRJNA742236	Green prop roots	Ambient CO2, drought, rep1	1	paired	data/fastq/SRR14935703_1.fastq.gz	data/fastq/SRR14935703_2.fastq.gz	results/rnaseq/sorghum_bicolor/index	false	sorghum_prjna742236	ambient	drought		ambient
SRR14935704	sorghum_bicolor	PRJNA742236	Green prop roots	Ambient CO2, drought, rep2	2	paired	data/fastq/SRR14935704_1.fastq.gz	data/fastq/SRR14935704_2.fastq.gz	results/rnaseq/sorghum_bicolor/index	true	sorghum_prjna742236	ambient	drought		ambient
SRR14935705	sorghum_bicolor	PRJNA742236	Green prop roots	Ambient CO2, drought, rep3	3	paired	data/fastq/SRR14935705_1.fastq.gz	data/fastq/SRR14935705_2.fastq.gz	results/rnaseq/sorghum_bicolor/index	false	sorghum_prjna742236	ambient	drought		ambient
SRR14935706	sorghum_bicolor	PRJNA742236	Green prop roots	Ambient CO2, drought, rep4	4	paired	data/fastq/SRR14935706_1.fastq.gz	data/fastq/SRR14935706_2.fastq.gz	results/rnaseq/sorghum_bicolor/index	false	sorghum_prjna742236	ambient	drought		ambient
SRR39669458	setaria_viridis	PRJNA1496374	Root	ambient CO2, control well-watered, biological replicate 1	1	paired	data/fastq/SRR39669458_1.fastq.gz	data/fastq/SRR39669458_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	well_watered	control	ambient:control
SRR39669459	setaria_viridis	PRJNA1496374	Root	ambient CO2, control well-watered, biological replicate 2	2	paired	data/fastq/SRR39669459_1.fastq.gz	data/fastq/SRR39669459_2.fastq.gz	results/rnaseq/setaria_viridis/index	true	setaria_prjna1496374	ambient	well_watered	control	ambient:control
