feature_id	SRR39669458	SRR39669459	SRR39669468	SRR39669469	SRR39669470	SRR39669471	SRR39669472	SRR39669473	SRR39669474	SRR39669475	SRR39669460	SRR39669461	SRR39669462	SRR39669463	SRR39669464	SRR39669465	SRR39669466	SRR39669467
SEVIR_5G287100v2	0.674908	1.116303	2.166641	12.664543	10.147203	7.189571	6.750873	15.339628	10.061865	1.429559	1.052569	0.914831	2.531932	2.424329	2.266169	13.735591	9.775397	14.443455
SEVIR_5G287200v2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEVIR_5G287266v2	0	0	0.035627	0	0.055778	0	0.031793	0	0.027378	0	0	0	0	0.030776	0.031823	0	0	0
SEVIR_5G287332v2	0.099676	0.155402	0.556269	0.674709	0.805972	2.274938	1.244695	0.642647	0.394821	0.186249	0.349144	0.405193	0.827221	0.974873	1.188357	1.892852	0.436589	1.239043
SEVIR_5G287400v2	35.910633	23.035909	23.689881	9.675504	10.261413	12.4806	6.895806	9.185764	14.091038	23.918769	31.462672	17.292757	18.42363	18.720787	18.776775	12.411238	9.875333	22.389424
SEVIR_5G287600v2	29.796999	27.599483	25.347197	24.790699	26.792807	20.196902	10.681068	16.190346	20.154289	28.164418	21.378383	22.998229	22.742947	23.153571	21.343677	20.392729	18.303221	13.283391
SEVIR_5G287700v2	2.02786	2.353461	5.93196	7.181901	7.818302	2.101052	0.638325	3.073322	2.518117	2.04491	1.475132	0.375538	2.569247	2.558679	2.234223	2.915685	3.287561	1.435543
SEVIR_5G287800v2	0	0	0	0	0	0	0	0.00973	0.00833	0	0.009374	0	0	0.010719	0	0	0	0
SEVIR_5G287900v2	22.693122	13.032236	27.320479	6.11767	6.041857	9.801052	8.181964	4.176685	2.633633	10.76905	10.896522	20.245285	11.34612	12.188451	10.750269	2.496546	2.399504	2.458641
SEVIR_5G287950v2	4.863175	4.714002	3.313959	2.589295	2.620241	2.965044	0.539583	1.155429	0.844471	4.394498	3.816445	3.034529	4.01656	4.347354	3.801492	1.147693	1.628684	0.954007
